"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\style.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 15, 46
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\VideoItem\index.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\VideoItem\style.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 14, 43
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\index.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 9, 110
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\index.tsx", "TypeScript JSX", 0, 0, 110, 0, 0, 0, 0, 0, 16, 126
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\style.scss", "SCSS", 0, 0, 0, 0, 0, 77, 0, 0, 31, 108
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\App\index.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Header\index.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Header\style.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\index.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 14, 105
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\style.scss", "SCSS", 0, 0, 0, 0, 0, 60, 0, 0, 24, 84
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\index.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 0, 0, 8, 88
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\style.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 0, 19, 64
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\index.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\ChannelPage\index.tsx", "TypeScript JSX", 0, 0, 113, 0, 0, 0, 0, 0, 13, 126
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\ChannelPage\styles.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 15, 50
